         124761 function calls (123510 primitive calls) in 1.649 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1022(_find_and_load)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb) 
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:664(_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:950(get_code)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.293    0.293 __init__.py:122(__init__)
      238    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
        1    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:139(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)   
        2    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)        
        1    0.000    0.000    0.000    0.000 __init__.py:189(initialize_soup)      
        2    0.000    0.000    0.000    0.000 __init__.py:197(reset)
      152    0.003    0.000    0.003    0.000 __init__.py:205(can_be_empty_element) 
        2    0.000    0.000    0.000    0.000 __init__.py:211(deprecated_argument)  
        1    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
      134    0.008    0.000    0.010    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)    
      152    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions) 
        1    0.000    0.000    0.292    0.292 __init__.py:471(_feed)
        1    0.000    0.000    0.000    0.000 __init__.py:484(reset)
      289    0.004    0.000    0.005    0.000 __init__.py:523(string_container)     
        1    0.000    0.000    0.000    0.000 __init__.py:549(_initialize_xml_detector)
      151    0.003    0.000    0.003    0.000 __init__.py:558(popTag)
        1    0.000    0.000    0.000    0.000 __init__.py:565(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:569(_root_tag_encountered)      152    0.004    0.000    0.004    0.000 __init__.py:572(pushTag)
       17    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
      305    0.032    0.000    0.092    0.000 __init__.py:586(endData)
        1    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
      289    0.013    0.000    0.041    0.000 __init__.py:620(object_was_parsed)    
        1    0.000    0.000    0.000    0.000 __init__.py:640(update)
      149    0.021    0.000    0.021    0.000 __init__.py:648(_linkage_fixer)       
      151    0.010    0.000    0.014    0.000 __init__.py:688(_popToTag)
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)       
      151    0.013    0.000    0.100    0.001 __init__.py:722(handle_starttag)      
      151    0.002    0.000    0.061    0.000 __init__.py:763(handle_endtag)        
      297    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
        1    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 _collections.py:100(__setitem__)      
        2    0.000    0.000    0.000    0.000 _collections.py:141(clear)
        1    0.000    0.000    0.001    0.001 _collections.py:240(__init__)
       11    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)      
        7    0.000    0.000    0.000    0.000 _collections.py:289(__iter__)
        6    0.000    0.000    0.000    0.000 _collections.py:300(add)
        1    0.000    0.000    0.001    0.001 _collections.py:335(extend)
        2    0.000    0.000    0.000    0.000 _collections.py:82(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:93(__getitem__)       
        1    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
       42    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:561(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)       12    0.000    0.000    0.000    0.000 _collections_abc.py:816(get)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:823(__contains__) 
        8    0.000    0.000    0.000    0.000 _collections_abc.py:835(items)        
        8    0.000    0.000    0.000    0.000 _collections_abc.py:857(__init__)     
        1    0.000    0.000    0.000    0.000 _collections_abc.py:860(__len__)      
      264    0.001    0.000    0.003    0.000 _collections_abc.py:904(__iter__)     
        8    0.000    0.000    0.001    0.000 _collections_abc.py:986(update)       
      151    0.015    0.000    0.118    0.001 _htmlparser.py:105(handle_starttag)   
      151    0.002    0.000    0.063    0.000 _htmlparser.py:160(handle_endtag)     
      296    0.002    0.000    0.003    0.000 _htmlparser.py:178(handle_data)       
        4    0.000    0.000    0.001    0.000 _htmlparser.py:182(handle_charref)    
        1    0.000    0.000    0.000    0.000 _htmlparser.py:222(handle_entityref)  
        1    0.000    0.000    0.000    0.000 _htmlparser.py:250(handle_decl)       
        1    0.000    0.000    0.000    0.000 _htmlparser.py:298(__init__)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:323(prepare_markup)    
        1    0.000    0.000    0.292    0.292 _htmlparser.py:372(feed)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:46(__init__)
        5    0.000    0.000    0.000    0.000 _internal_utils.py:25(to_native_string)
        1    0.000    0.000    0.000    0.000 _internal_utils.py:38(unicode_is_ascii)
        1    0.000    0.000    0.000    0.000 _markupbase.py:32(reset)
      151    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      590    0.015    0.000    0.017    0.000 _markupbase.py:44(updatepos)
       12    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)  
        6    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       12    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)        3    0.000    0.000    0.000    0.000 _request_methods.py:51(__init__)      
      175    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
    47/11    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 adapters.py:135(__init__)
        2    0.000    0.000    0.000    0.000 adapters.py:173(init_poolmanager)     
        1    0.000    0.000    0.000    0.000 adapters.py:237(cert_verify)
        1    0.000    0.000    0.001    0.001 adapters.py:294(build_response)       
        1    0.000    0.000    0.001    0.001 adapters.py:331(get_connection)       
        2    0.000    0.000    0.000    0.000 adapters.py:360(close)
        1    0.000    0.000    0.000    0.000 adapters.py:370(request_url)
        1    0.000    0.000    0.000    0.000 adapters.py:399(add_headers)
        1    0.000    0.000    0.979    0.979 adapters.py:434(send)
        2    0.000    0.000    0.000    0.000 adapters.py:73(__init__)
        1    0.000    0.000    1.002    1.002 api.py:14(request)
        1    0.000    0.000    1.002    1.002 api.py:62(get)
        6    0.000    0.000    0.000    0.000 client.py:1007(_output)
        1    0.000    0.000    0.056    0.056 client.py:1028(_send_output)
        1    0.000    0.000    0.000    0.000 client.py:1082(putrequest)
        1    0.000    0.000    0.000    0.000 client.py:1209(_encode_request)       
        1    0.000    0.000    0.000    0.000 client.py:1213(_validate_method)      
